text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions,extracted_topic
F52394B3500C,"I think that school should not follow the business model. Adding two more hours to the schedule is not worth it for example some student need that time to other activities like go to the gym or play any sport and by adding two more hours that means that they are not going to be able to do all kinds of activities after they get out of school. There are some student whom work after they get out from school, they need that time to go work and make their money and having to stay on school two more hours means that are not going to have the same time as before to work also means that they are going to make less money. Staying on school two more hours will be a difficult task like myself I need go home after I am done with school because I have to take care of my house like make my sister food and clean my house I have to do that every day after I get out from 0school that is why it will be difficult task to do for me to stay two more hours on school.

I think that adding two more hours to the schedule and only having to go to school for four days only is not good idea sure we want to save energy as well but school can not afford to follow the businesses model. For example student can not afford to stay on school for 10 straight hours they are going be really tired and by being like that they might do their work wrong. Also those student whom work after school if they stay two more hours I think that they are going to be really tired for work I have some friends they start working at 5pm they get out of 3pm that means that they will have time to rest for two hours but if they have two stay on school for two more hours that means that they will get out of school at 5pm so they are not going to have time rest an just have to go straight to work. Another disadvantage of getting two more hours of school is that for those students whom works and get homework that means that they will not have time to do their homework for example myself I have to go home early to take care of my house I have to care of my house quickly so I can start doing my homework so staying two more hours on school for me it will be difficult to do all of that task after I get out from school.

Of course there are some benefits from adding two more hours to the school schedule like saving resources and saving energy also those student whom does not do anything after school can learn more because they can concentrate more they does no to worry about what they are going to do after school. There are some student whom does not do anything after they get out from school so for them it does not really matter whether they have o stay two more hours or they does not have to stay like my friend Generic_Name he is a student who does not do any actives or their go to work after school so for him it does not matter if have to stay two more hours. Having two more hours means that those student whom does not do anything after school can have more time con do their school work as well study more for their test. The benefit of adding two more hours only benefits those who does not do anything after school.

In conclusion trying to follow the businesses model is not good idea for our school, so many student are going to arguing for it they are going be saying that just by trying to save a little bit of energy and resources they have to change so many things and sacrifice their money and their time in fact is not a big different adding two more hours two the schedule every day because that means that we till have to use energy in those hours.",3.5,3.5,3.0,3.5,3.0,3.0,the value of education
8C645419E1B4,"Others would not appreciate kindness.

First acts of kindness has an impact on others because others may not be used to being kind to everyone around our environment.

Next showing kindness to other people is not something everybody does on a daily bases however that does not mean we hate each other we just don't show what kindness really looks like.

Finally it's not always good to be kind to others because other people like to be treated good or bad.

Kind isn't always the best choice.

First being kind isn't always the best choice in different situations. For example picking if a student should get bullied or choosing a friend for you to help on the test like who would a help.

Next kindness can also lead you to big trouble. For example u standing up for a student who gets hurt and bullied by the bully if your school has no cameras around it's easy for the bully to lie about the situation that happened with the kid who got bullied if there are no cameras in your local school.

Finally about the bullying part the person who is getting bullied by the bully and the person who is standing up for the kid who gets bullied they can even get in trouble for interfering.

Don't be kind to those who aren't good people

First students and others who are being mean to you they are probably not a good person therefore don't talk to them and shouldn't be kind to them.

Also a reason to not be kind to those who aren't good people is because they have the discipline to teach themselves to treat others right.

Finally if you are getting annoyed by the person who is being mean to you than talk to a teacher about it and they can talk to the student about being kind to others.",3.0,4.0,3.5,4.0,4.0,4.0,environmental conservation and climate change
CE214B0C2CB6,"The British naturalist and politician John Lubbock once wrote, ""Your character will be what yourself choose to make it

In my opinion, we do choose who we want to be. I agree with John Lubbock because not everyone has the same intentions as the people who surround us, we choose our own path, and people are raised differently.

Not everyone has the same intentions as the people they hang out with. Not because I want to go to college and become a nurse, means that my best friend, that I spend most of the time with, would want to be a nurse or be in a medical field as me. Some people might think differently and say that we are influenced by the people we spend our time with. We choose who we want to become. People have their own dreams and choose their own path.

We choose our own paths. I once got invited to a party where I knew there were going to be lots of teens drinking and doing drugs, so I told my friend, who invited me, that I didnt wanted to go because I new it was bad. For some people it is just fun and dont think about the consequences. Not everyone thinks the same, and people are raised differently.

We were all raised differently. For siblings, I think it is different because they are being raised by the same people and have almost the same points of view, but that does not mean they are or think the same. There could be two sisters being raised the same but one might have different habits or opinions than the other. At the end of the day we choose who we want to be.

We choose who we want to be. Yes, we are influenced by the people we see everyday and we might just take it as inspiration, but we are the ones who work towards our goals and not anyone else. We do choose who we are because not everyone thinks the same, we choose our destiny, and parents raise their children with different habits and knowledge.",3.5,3.5,4.5,4.0,4.0,4.5,a topic of personal interest
75DAA54880C1,"The author Ralph Emerson wrote, '' To be yourself in a world that is constlantly trying to make you something else is the greatest accomplishment.'' I totally agree with Emerson's statement because be something else is not the most greatest accomplishment that you can do, the most important accomplishment that you can do in this big worl is always be yourself, be humble about everything, be kind with others, and never change the person that you really are.

First, bring humble is one of the most important thing that we always need to have no matter what. Being humble can take you to the top, to be successful in the life. For example, Marisela de Montecristo, is a salvadorian beauty queen, who wob the title of Miss Universe last year and Nuestra Belleza Latina in 2013. Marisela grow up very poor, but when she was 10 years old, she emigrated with her mom to this country looking for a better life, however, when she came here she went to the school, she learned English, and she did graduated in social communication. In 2013 she decided to compete in a reality show that is called '' Nuestra Belleza Latina '' and she won, and with all the money that she won, she decided to founded an own restaurant for her mom in Las Vegas, Nevada. Six years latter, she decided to compite for Miss Universe El Salvador 2018, where she resulted the winner. That year she went to Thailand to compite for the title of Miss Universe. Now she is a famous person and she have her own foundation that helps people in countries around the world like Africa, El Salvador, Mexico, Philipines. Also she is modeling in differents countries like Paris, Spain, and Great Britain, but above all this things that shes is doing, she always still humble. In one interview with Telemundo, she said that being humble is the key of being successful in the live, and I totally agree with her.

Second, be kind with others is something that defined you as a good person, because people love when someone is really interesting in help others. For example, I think that we should be kind with others, help others, because we never know when we going to need help of these people, in addition, being kind is other accomplishment that you can do in this life, and is something that you can feel proud of be.

Third, never change who you really are for something passenger or for something that can not give you happiness, because be yourself is the most important thing that you can do in this big world. For example, my mom told me that being myself is the only thing that can make the difference of me between everyone, she also told me that being gay is not a hindrance to triumphing in my life, because with effort, dedication, and persistence I can do many things in my life, without necessity of change the person who I am.

To finish, be yourself is the only and the best thing you can do in your life. There is not other way to be happy and to demostrated to the world that you don't have to be something else to be successful and to make greatest accomplishment in your life, because the key always is going to be be yourself and be proud the person who you are.",3.5,3.5,3.0,2.5,2.5,3.0,a topic of personal interest
73851AC4551C,"78% of Americans students do extracurricular activities, by staying after school,doing sports and serving on the student council. This can help students to improve their grades,because every activity count as a grade or extra credit.

Firstly,students should do extracurricular activities because this can improve their grades, if they do extra credit after school teachers can replace a missing assignment for the extra credit. Students can improve their grades in different ways they can do particularly activities like sports, if students do sports they can practice their beneficent for do activities after school. One important thing is that students can receive help from others students or teachers,a lot of students stay after school for receive help especially when they have missing assignments,if they do not understand a topic.

Secondly,students can spend time with their friends, this is important because some students spend their time in technological things like phones,video games and things like that ,others students like to stay after school because they can share time,ideas or comments how they are in their grades,by sharing ideas they can help each other in their work,especially if they do not understand something. They can share and receive help from others they can do work together and when they finish they get free time for their friends.

Thirdly, this is most important because students learn more,they learn the importance of share time with friends,a lot of people have longer friendship because they like to spend time with friends and they do not spend time with a phone. All the kids should do extracurricular activities in school because this can help then in a future,especially if they take importance to improve their grades.

To conclude, every student should do activities after school,this is a benefit for their future and for their learning skills. Parents should be interest in these things because most students have bad grades in their classes and this is an opportunity for improve grades. Doing sports is an activity that can help kids to be healthy and stronger.",2.5,2.5,3.0,3.0,3.0,2.5,the value of education
BF5E7CD37E4B,""" Imagination is more important than knowledge ""

Can imagination be more important than knowledge?

I think that imagination can be more important than knowledge. Due to the imagination of some scientists have created a massive number of inventions that benefit almost all the people of the world in that part is when knowledge is created based in imagination. In movies of sci-fi the director imagine a space full of flying cars and gas stations in the space, one great example was in the movie ""Return to the future 2"" the director and the writer of the movie imagine a skateboard that could elevate one ore two inches from the floor and they put it in the movie, and now scientist invented a skateboard that can elevate four centimeters from the floor.

First of all, whiteout imagination the world couldn't be the same like we know it right know,the imagination can help to improve your knowledge. Think about that a world whit geometrical forms like squares or rectangles, horrible! For example: Bill gates was a normal person, studying in a normal university, and whit a normal family. But one day he imagine how to improve his knowledge of school of the systems of computers, then he invented windows, so thats is a great example o how imagination can change the world.

Also, the imagination can help people work. You use it in projects, you use it in homework, also you use it in tests (Like me right now). For example: I was in a project of a debate of countries, my team was N.Korea, i needed to imagine if i where in Generic_City presenting my statement to all affiliated countries of UN, so i began to write, i though i was going to lose, because my enemy was the Westerns powers, but then we could win due i could imagine if the situation was like i where a person of N.Korea speaking to orders governments.

Third, imagination makes you feel better, when you are bored or when you are sad, the imagination always can make you appear a smile in your face. For example: i meet a partner that was depressed, i tell him ""i know how you are going to be happy, imagine you and the people you love to be near are in a vacation, then imagine you are whit out problems, whit out school, whit out homework,etc. Now i think now you are willing to be without stress or difficulties in these day"", he told me he was better.

Finally, I think and many people does is that whit out imagination we couldn live happy and whit a lot of fun, knowledge is a part of the bast world of imagination. People famous and normal people are successful by the imagination they use in theres life.",3.5,3.0,3.5,2.5,3.0,3.0,a topic of personal interest
85F4C57672EA,"""Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. Do you think students would benefit from being able to attend classes from home""? I do not believe that students would benefit from being able to attend classes from home. I believe the students can get distracted so easily at home. For example, you start watching a movie; when you were supposed to your homework. That would affect your grade because you didn't do it on time. Another, example is when your mom tell you to buy something and then you forgot what were you doing. In addition, time is another reason why is not beneficial taking classes from home.

Time is one of the consequences attend to classes online is not beneficial because unexpected things can happen. You can't control time. For example, someone in your family die or they have a car crash or even work schedule. Those examples can affect you by reducing the time and material you were to work on. That's why you can't predict what is unexpected. Unexpected times take away your energy, concentration and comprehension on what your studying. Another, reason why classes from home isn't good.

Energy keep you awake. Being concentrate shows interest on what you doing and comprehension is how much you understand. If you're sleepy you cannot do any of that. However, I want to focus more in the comprehension part. Never ever compare a teacher vs a computer. For example, you didn't understand the new unit because is confusing, you can always put your hand up and ask the teacher. The teacher will explain at their best for you to comprehend. On the contrary, you can't do it because you're at home and nobody can explain the material you don't understand.

Some students agree they can benefit from being able to attend classes from home because they can do it later, if they miss something on class. Also, they can study anywhere they can have access to it. That reject to be in certain place. You're free to study and work without any restrain. All you need is to manage your time.

You be able to kill two birds on the same shot.

To conclude, students will realize that a teacher is way better than a computer. The teachers study the materials on what they gonna teach and they graduate from college, gain a diploma of what they teaching you. They have the proof and I believe they are doing the right choices about giving you materials for you on the future. That's why i would never change them for one computer at home.  ",4.0,3.0,3.0,3.5,3.0,4.0,the value of education
011AAA636F11,"Have you ever solved a math problem in less than 30 seconds? Math is important to many people. Even president Trump uses math to buy food or pay back to important people. He might be paying people to find a cure for the Coronavirus. However did you know that we use math every single day in our life?

How do people use math every single day you may ask. When you go to the super market to buy food, the register has to add all the food that you bought and they even have to add taxes. How about when you go shopping in the mall with some friends. When some is looking for a job they even have to find out how much is the salary. When your parents pay water bills and taxes, they have to pay the perfect amount of money. If your doing a party you have to find how much money your wasting. In your school you have to use math in mostly all your subject. In science you have find out how much of a mass is in a cup of water then subtract it from the cup to find the mass of water. For history the president has to find out about expensive's and the taxes that each citizens is paying. If you have a hobby or have talents to do an activity you even use math. In theater arts you have to measure and subtract where the lights are hitting and you have to find the perfect angel. In baking you have to add your ingredients and weight it to find it's mass.

When you cook don't tell me you just put random stuff in your pot. You have to find the perfect amount to feed the people you are feeding. In soccer you have to find the angle you are going to kick the soccer ball. Basketball is the same, you have to see from which angel you are going to throw the ball to make a point for your team. Here are some school activity's that you use math in your school.

Science

History

Art

Theater Art

Sports

Cooking Class

Home

After school programs

However several kid's don't like math but they could try it in a fun way. Many children complain about math being to hard or just being boring. I have found a way to make it exciting for kids. They could be playing games or just pretending to buy stuff, like doing a little play that won't cost money. If a student likes painting give them a coloring book that has math in it. Dancing and music is the same thing like coloring. In music you can count how many strings a violin has and compare it to another instrument that is in the violin family. You can watch a funny video that is related to math, you can watch it in your home or in school. Go on a field trip that will be free or that won't cost that much money.

If a student is struggling in math help or show them a way to do it. A kid's classmates or friend could help them in math. They can use math websites like racing cars for boys and coloring games for girls. If they are still struggling then ask there parents if they can stay or to get them a tutor after school. Find them a easier and understandable way to teach them math. The child's teacher can even play fun games with her students like Kahoot,Quizlet live, or even Pear Deck. You can give out prizes like candy or sticker's, that will probably get them more exciting.

Many scientist say that math is helpful to your brain and makes it healthy for you and your brain. You will acknowledge many ways to solve several math problems from years to years until you graduate from collage or high school. The reason why I choose to do my lesson about math is that I want kids to be independent and to get responsible when they grow up to be adults. ",4.0,3.5,3.0,4.0,3.5,4.0,a topic of personal interest
6EF7CBB46501,"The statement that the author Ralph Waldo Emerson wrote about to do something else just to be someone in the world, it is completely an error. I disagree with this statement, since, I believe that every person think differently. For example, people has their own ideas and ways how to do their own business. Everyone can make a biggest impact in the world, but, by doing what they love. Not what others think that it could be beneficial for you. To be someone in a world you should believe in yourself, make right decisions, and success.

First of all, people could enter in your mind by telling you what could be beneficial for your life or carer. Some of them accept their opinion and do what they do not like, or love. For example, when students are thinking in what career they want to study. Parents influence in their choices by telling about what career would be properly for them. However, those ""properly careers"" it is not in their list of careers they want to study. This action make some teenangers to take that step of let parents choice by themselves.

Otherwise,

they do not help them to mature or even take responsabilities. Everyone should believe in themselves by doing whatever they love, without any interpose in accomplish their dreams. Since, we have the right to build them, it does not matter if we commit an error. Because of our capacities to avoid them or even get over it and keep going.

People has the right to make big choices in life. Making decisions it is hard and important because it could be beneficial, or even worst. However, if you choice with your heart it might be right but by the time you can change your mind. But, you won't regret it about those decisions because as they say, ""You have to learn for every error you commit to be success."" This means that we learn through the past of the time every fall, because you have to stand up and continue your life. It helps us to growing our knowledge to build a better version of ourselves.

Finally, by being confidence to yourself helps you to surpass any obstacle. Beliving in your ideas and trying to make it come true, it tells us that you are persist person chasing for your dreams. Which is quite favorable for person in any career or even job. Because of seeking to be successful at your own way, by do not depend about what others can say. Everyone has a differently perspective than others by doing what you love without any ""obligation"" or to be oppresed.

In conclusion, I am not accorded by this statement, since, we have different points of view. However, I believe that every human being can make their dreams come true without any oppression by others. People should stand by themselves by starting to be confidence in their belief. Also, by being patience on making important decisions, since, everything takes time. And, do not be afraid on doing what you love because it brings you to the way to be success.",3.5,3.5,3.5,3.0,2.5,3.5,a topic of personal interest
9B69DE203555,"When asking for advice, 93% of the people in America talk to more than one person. I think seeking multiple opinions will help you make a better choice rather than asking one person for advice.

It could also help you out with other situations through out life. This is why you should talk to more than one person when asking for advice, you can get other peoples opinions, the way others understand your situation, you can see situations differently.

When you talk to more than one person to ask for advice you can get other peoples opinion. Everyone you know thinks differently. Sometimes people may have some of the same thoughts but not every situation has the same solution. What one person has to say is different from what another person says.

People understand things differently. Some people you talk to will not understand your situation. They will not see the situation the way you see it. If they do not completely understand your situation they could say the wrong thing. When they say the wrong thing it could make your situation a lot worse. You should always have multiple people you know you can trust and you could talk with to ask for advice in any situation. While others will know exactly what to say and do because they probably have been in situations like yours.

You can see other situations differently. When you talk to more than one person to ask for advice you start to see things differently. It changes the way you think about any situation. You will have an open mind and you will know what to say when other people ask you for advice. Knowing what to do when other people ask you for advice can help you out with a lot through life. It can help build stronger relationships and people can trust you. Trust is very important because people can talk to you about anything and you will know how to react and what to say.

In conclusion, talking to more than one person to ask them for advice can help you make the better choice. It can also help you out with other situations later in life. This is why you should talk to more than one person when asking for advice, you can get other peoples opinions, the way others understand your situation, you can see situations differently. ",3.5,3.5,3.0,3.0,3.5,3.5,a topic of personal interest
